"ReviewID";"BookingID";"Rating";"CreatedAt";"Comment"
1;1;5;"2025-07-06 00:00:00";"Fantastic sitter! My dog loved staying here."
2;2;4;"2025-07-05 00:00:00";"Good communication and care."
3;3;5;"2025-07-11 00:00:00";"Very caring and attentive. Highly recommend!"
4;4;2;"2025-07-08 00:00:00";"Had to cancel last minute. Response was slow."
5;5;5;"2025-07-04 00:00:00";"Excellent with senior pets."
6;6;4;"2025-07-13 00:00:00";"Puppy was happy. Would book again."
7;7;5;"2025-07-09 00:00:00";"Amazing walk, dog was tired and happy!"
8;8;5;"2025-07-10 00:00:00";"Very friendly and prompt."
9;9;3;"2025-07-17 00:00:00";"Okay experience. Cat seemed a bit stressed."
10;10;4;"2025-07-14 00:00:00";"Very nice person, good with dogs."
11;11;5;"2025-07-15 00:00:00";"Would recommend for drop-ins."
12;12;4;"2025-07-11 00:00:00";"Quick and efficient!"
13;13;5;"2025-07-19 00:00:00";"Really sweet and communicative."
14;14;3;"2025-07-22 00:00:00";"Some delays, but otherwise okay."
15;15;5;"2025-07-24 00:00:00";"Loved the service! Will book again."
16;16;5;"2025-07-27 00:00:00";"Great overnight stay, very responsive sitter."
17;17;4;"2025-07-25 00:00:00";"Walk went well, my dog came home happy."
18;18;5;"2025-07-26 00:00:00";"Perfect daycare experience!"
19;19;3;"2025-07-27 00:00:00";"Decent service, slight delay in pickup."
20;20;4;"2025-07-30 00:00:00";"Friendly sitter, cat seemed content."
21;21;5;"2025-07-30 00:00:00";"Trainer was amazing, lots of progress."
22;22;5;"2025-08-01 00:00:00";"Excellent, warm and professional care."
23;23;4;"2025-08-01 00:00:00";"Puppy daycare was fun, will rebook."
24;24;5;"2025-08-02 00:00:00";"Very attentive during the visit."
25;25;4;"2025-08-03 00:00:00";"Great walk! Would recommend."
